movie_title,bag_of_words
Avatar ,action adventure fantasy sci-fi avatar future marine native paraplegic  
Pirates of the Caribbean: At World's End ,action adventure fantasy goddess marriage ceremony marriage proposal pirate singapore  
Spectre ,action adventure thriller bomb espionage sequel spy terrorist  
The Dark Knight Rises ,action thriller deception imprisonment lawlessness police officer terrorist plot  
Star Wars: Episode VII - The Force Awakens ,documentary nan  
John Carter ,action adventure sci-fi alien american civil war male nipple mars princess  
Spider-Man 3 ,action adventure romance sandman spider man symbiote venom villain  
Tangled ,adventure animation comedy family fantasy musical romance 17th century based on fairy tale disney flower tower  
Avengers: Age of Ultron ,action adventure sci-fi artificial intelligence based on comic book captain america marvel cinematic universe superhero  
Harry Potter and the Half-Blood Prince ,adventure family fantasy mystery blood book love potion professor  
Batman v Superman: Dawn of Justice ,action adventure sci-fi based on comic book batman sequel to a reboot superhero superman  
Superman Returns ,action adventure sci-fi crystal epic lex luthor lois lane return to earth  
Quantum of Solace ,action adventure action hero attempted rape bond girl official james bond series revenge  
Pirates of the Caribbean: Dead Man's Chest ,action adventure fantasy box office hit giant squid heart liar's dice monster  
The Lone Ranger ,action adventure western horse outlaw texas texas ranger train  
Man of Steel ,action adventure fantasy sci-fi based on comic book british actor playing american character final battle origin of hero reboot  
The Chronicles of Narnia: Prince Caspian ,action adventure family fantasy brother brother relationship brother sister relationship good versus evil king narnia  
The Avengers ,action adventure sci-fi alien invasion assassin battle iron man soldier  
Pirates of the Caribbean: On Stranger Tides ,action adventure fantasy blackbeard captain pirate revenge soldier  
Men in Black 3 ,action adventure comedy family fantasy sci-fi alien criminal m.i.b. maximum security prison prison  
The Hobbit: The Battle of the Five Armies ,adventure fantasy army elf hobbit middle earth orc  
The Amazing Spider-Man ,action adventure fantasy lizard outcast spider spider man teenager  
Robin Hood ,action adventure drama history 1190s archer england king of england robin hood  
The Hobbit: The Desolation of Smaug ,adventure fantasy dwarf elf lake town mountain sword and sorcery  
The Golden Compass ,adventure family fantasy children epic friend girl quest  
King Kong ,action adventure drama romance animal name in title ape abducts a woman gorilla island king kong  
Titanic ,drama romance artist love ship titanic wet  
Captain America: Civil War ,action adventure sci-fi based on comic book knife marvel cinematic universe returning character killed off superhero  
Battleship ,action adventure sci-fi thriller box office flop hawaii naval oahu hawaii ship  
Jurassic World ,action adventure sci-fi thriller dinosaur disaster film experiment gone wrong jurassic park velociraptor  
Skyfall ,action adventure thriller brawl childhood home computer cracker intelligence agency terrorist cell  
Spider-Man 2 ,action adventure fantasy romance death doctor scientist super villain tentacle  
Iron Man 3 ,action adventure sci-fi armor explosion human bomb missile attack terrorist  
Alice in Wonderland ,adventure family fantasy alice in wonderland mistaking reality for dream queen shrinking shrinking potion  
X-Men: The Last Stand ,action adventure fantasy sci-fi thriller battle mutant outrage walking through a wall x men  
Monsters University ,adventure animation comedy family fantasy cheating fraternity monster singing in a car university  
Transformers: Revenge of the Fallen ,action adventure sci-fi autobot decepticon machine sun symbol  
Transformers: Age of Extinction ,action adventure sci-fi blockbuster bumblebee the character semi truck and trailer texas truck  
Oz the Great and Powerful ,adventure family fantasy circus magic magician oz witch  
The Amazing Spider-Man 2 ,action adventure fantasy sci-fi costumed hero death of girlfriend masked vigilante returning character killed off teenager  
TRON: Legacy ,action adventure sci-fi arcade bridge disappearance escape warrior  
Cars 2 ,adventure animation comedy family sport best friend car race conspiracy gadget car spy  
Green Lantern ,action adventure sci-fi autopsy lantern planet ring test pilot  
Toy Story 3 ,adventure animation comedy family fantasy college day care escape teddy bear toy  
Terminator Salvation ,action adventure sci-fi death row future machine rescue skynet  
Furious 7 ,action crime thriller car falling off a cliff hospital revenge star died before release terrorist  
World War Z ,action adventure horror sci-fi thriller chaos disease infection pandemic zombie  
X-Men: Days of Future Past ,action adventure fantasy sci-fi thriller dystopia super strength supernatural power time paradox time travel  
Star Trek Into Darkness ,action adventure sci-fi admiral captain manhunt mission space  
Jack the Giant Slayer ,adventure fantasy bean giant king no opening credits princess  
The Great Gatsby ,drama romance ingratitude mansion party title appears in writing tragedy  
Prince of Persia: The Sands of Time ,action adventure fantasy romance alamut dagger king persia princess  
Pacific Rim ,action adventure sci-fi giant monster kaiju pilot portal robot  
Transformers: Dark of the Moon ,action adventure sci-fi autobot decepticon job interview moon spacecraft  
Indiana Jones and the Kingdom of the Crystal Skull ,action adventure fantasy cult figure femme fatale indiana jones unsubtitled foreign language year 1957  
The Good Dinosaur ,adventure animation comedy family fantasy apatosaurus asteroid dinosaur fear river  
Brave ,adventure animation comedy family fantasy archery coming of age female warrior princess rebellious daughter  
Star Trek Beyond ,action adventure sci-fi thriller hatred sequel space opera star trek third part  
WALL·E ,adventure animation family sci-fi earth obesity plant robot soil  
Rush Hour 3 ,action comedy crime thriller ambassador assassination chinese french triad  
2012 ,action adventure sci-fi ark catastrophe geologist president writer  
A Christmas Carol ,animation drama family fantasy charles dickens christmas christmas eve ghost scrooge  
